GPT-4.1 Mini Performance Comparison
==================================================
Format: TaskID | Original | TB (Terminal-Bench)
--------------------------------------------------

1983a        | Unknown  | Pass    
1983b        | Unknown  | Fail    
1983c        | Unknown  | Pass    
1983d        | Unknown  | Pass    
1983e        | Unknown  | Fail    
1983f        | Unknown  | Fail    
1983g        | Unknown  | Pass    
1988a        | Unknown  | Fail    
1988b        | Unknown  | Fail    
1988c        | Unknown  | Fail    
1990a        | Unknown  | Fail    
1990b        | Unknown  | Fail    
1990c        | Unknown  | Pass    
1990d        | Unknown  | Fail    
1991a        | Unknown  | Fail    
1991b        | Unknown  | Pass    
1991c        | Unknown  | Fail    
1991d        | Unknown  | Fail    
1991g        | Unknown  | Unknown 
1991h        | Fail     | Fail    
1992a        | Unknown  | Pass    
1992c        | Unknown  | Pass    
1992d        | Unknown  | Fail    
1992e        | Unknown  | Fail    
1992f        | Unknown  | Fail    
1992g        | Unknown  | Pass    
1993a        | Unknown  | Fail    
1993c        | Unknown  | Fail    
1993d        | Unknown  | Fail    
1993e        | Unknown  | Fail    
1993f1       | Unknown  | Pass    
1993f2       | Unknown  | Fail    
1994a        | Unknown  | Fail    
1994b        | Unknown  | Fail    
1994c        | Unknown  | Fail    
1994d        | Unknown  | Fail    
1994g        | Unknown  | Fail    
1995a        | Unknown  | Fail    
1995b1       | Unknown  | Fail    
1995c        | Unknown  | Fail    
1995d        | Unknown  | Fail    
1996a        | Unknown  | Pass    
1996b        | Unknown  | Pass    
1996c        | Unknown  | Pass    
1996d        | Unknown  | Pass    
1996e        | Unknown  | Pass    
1996g        | Unknown  | Fail    
1997a        | Unknown  | Pass    
1997b        | Unknown  | Pass    
1997c        | Unknown  | Fail    
1997e        | Unknown  | Pass    
1997f        | Unknown  | Fail    
1998b        | Unknown  | Fail    
1999a        | Unknown  | Pass    
1999b        | Unknown  | Pass    
1999c        | Unknown  | Pass    
1999d        | Unknown  | Pass    
1999e        | Unknown  | Fail    
1999f        | Unknown  | Pass    
2000b        | Unknown  | Pass    
2000d        | Unknown  | Fail    
2000e        | Unknown  | Fail    
2000f        | Unknown  | Fail    
2000g        | Unknown  | Fail    
2001a        | Unknown  | Fail    
2001b        | Unknown  | Fail    
2001e1       | Unknown  | Fail    
2001e2       | Unknown  | Fail    
2002a        | Unknown  | Fail    
2002c        | Unknown  | Fail    
2002d1       | Unknown  | Pass    
2002e        | Unknown  | Fail    
2002f1       | Unknown  | Fail    
2003a        | Unknown  | Fail    
2003c        | Unknown  | Fail    
2003d2       | Unknown  | Fail    
2003f        | Unknown  | Fail    
2004a        | Unknown  | Pass    
2004b        | Unknown  | Fail    
2004c        | Unknown  | Fail    
2004d        | Unknown  | Fail    
2005a        | Unknown  | Fail    
2005b1       | Unknown  | Fail    
2005b2       | Unknown  | Fail    
2005c        | Unknown  | Pass    
2005e1       | Unknown  | Fail    
2005e2       | Unknown  | Pass    
2006a        | Unknown  | Fail    
2006f        | Fail     | Fail    
2007a        | Unknown  | Fail    
2007b        | Unknown  | Fail    
2008a        | Unknown  | Pass    
2008c        | Unknown  | Pass    
2008d        | Unknown  | Pass    
2008e        | Unknown  | Fail    
2008g        | Unknown  | Fail    
